,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,set
59,California Dreamin,The Mamas and the Papas,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,audio_features,4s6LhHAV5SEsOV0lC2tjvJ,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,162373,4,N
60,My Girl,The Temptations,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566,audio_features,745H5CctFr12Mo7cqa1BMH,spotify:track:745H5CctFr12Mo7cqa1BMH,https://api.spotify.com/v1/tracks/745H5CctFr12Mo7cqa1BMH,https://api.spotify.com/v1/audio-analysis/745H5CctFr12Mo7cqa1BMH,165000,4,N
61,Ring of Fire,Johnny Cash,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,audio_features,6YffUZJ2R06kyxyK6onezL,spotify:track:6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/tracks/6YffUZJ2R06kyxyK6onezL,https://api.spotify.com/v1/audio-analysis/6YffUZJ2R06kyxyK6onezL,158427,4,N
62,Thunder Road,Bruce Springsteen,0.369,0.758,5,-5.871,1,0.0364,0.623,1.78e-05,0.531,0.663,140.71,audio_features,56lhDZNQ5J47aog6mGKeGk,spotify:track:56lhDZNQ5J47aog6mGKeGk,https://api.spotify.com/v1/tracks/56lhDZNQ5J47aog6mGKeGk,https://api.spotify.com/v1/audio-analysis/56lhDZNQ5J47aog6mGKeGk,288720,4,N
63,Crazy,Patsy Cline,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,audio_features,3zpj9dvJABiyMrmLCPw6i8,spotify:track:3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/tracks/3zpj9dvJABiyMrmLCPw6i8,https://api.spotify.com/v1/audio-analysis/3zpj9dvJABiyMrmLCPw6i8,164573,3,N
64,Every Breath You Take,The Police,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4,N
65,Norwegian Wood (This Bird Has Flown),The Beatles,0.425,0.369,4,-11.876,1,0.0379,0.183,0.00126,0.112,0.65,176.625,audio_features,1H7gMYGykdtwZOV6s1N0by,spotify:track:1H7gMYGykdtwZOV6s1N0by,https://api.spotify.com/v1/tracks/1H7gMYGykdtwZOV6s1N0by,https://api.spotify.com/v1/audio-analysis/1H7gMYGykdtwZOV6s1N0by,124693,3,N
66,Blueberry Hill,Fats Domino,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,audio_features,06PdA0DLgF4BfAeUNZAbFG,spotify:track:06PdA0DLgF4BfAeUNZAbFG,https://api.spotify.com/v1/tracks/06PdA0DLgF4BfAeUNZAbFG,https://api.spotify.com/v1/audio-analysis/06PdA0DLgF4BfAeUNZAbFG,147880,3,N
67,I Heard It Through the Grapevine,Marvin Gaye,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,audio_features,1tqT6DhmsrtQgyCKUwotiw,spotify:track:1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/tracks/1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/audio-analysis/1tqT6DhmsrtQgyCKUwotiw,194293,4,N
68,You Really Got Me,The Kinks,0.573,0.939,8,-6.441,1,0.0808,0.493,0.0,0.0994,0.963,137.382,audio_features,29SyMC0plk6qw8NMF7lfRL,spotify:track:29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/tracks/29SyMC0plk6qw8NMF7lfRL,https://api.spotify.com/v1/audio-analysis/29SyMC0plk6qw8NMF7lfRL,134253,4,N
69,Mr. Tambourine Man,The Byrds,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,audio_features,2HCaIYjkvWSZzaSKUoOh3d,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/tracks/2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/audio-analysis/2HCaIYjkvWSZzaSKUoOh3d,149467,4,N
70,I Got You (I Feel Good),James Brown,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,audio_features,5haXbSJqjjM0TCJ5XkfEaC,spotify:track:5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/tracks/5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/audio-analysis/5haXbSJqjjM0TCJ5XkfEaC,165800,4,N
71,Mystery Train,Elvis Presley,0.699,0.514,4,-12.61,1,0.0315,0.587,0.029,0.22,0.63,120.758,audio_features,0GvhHQbWSnGltjl0je61dI,spotify:track:0GvhHQbWSnGltjl0je61dI,https://api.spotify.com/v1/tracks/0GvhHQbWSnGltjl0je61dI,https://api.spotify.com/v1/audio-analysis/0GvhHQbWSnGltjl0je61dI,144947,4,N
72,Strawberry Fields Forever,The Beatles,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,3Am0IbOxmvlSXro7N5iSfZ,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/tracks/3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/audio-analysis/3Am0IbOxmvlSXro7N5iSfZ,247320,4,N
73,Whole Lotta Love,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,audio_features,0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8,333893,4,N
74,Summertime Blues,Eddie Cochran,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,audio_features,3oAWTk92mZBxKBOKf8mR5v,spotify:track:3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/tracks/3oAWTk92mZBxKBOKf8mR5v,https://api.spotify.com/v1/audio-analysis/3oAWTk92mZBxKBOKf8mR5v,119360,4,N
75,Superstition,Stevie Wonder,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,audio_features,1h2xVEoJORqrg71HocgqXd,spotify:track:1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/tracks/1h2xVEoJORqrg71HocgqXd,https://api.spotify.com/v1/audio-analysis/1h2xVEoJORqrg71HocgqXd,245493,4,N
76,California Girls,The Beach Boys,0.503,0.62,11,-6.069,1,0.0296,0.471,0.0,0.159,0.713,116.599,audio_features,6bJuuCtXYiwOcKT9s8uRh8,spotify:track:6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/tracks/6bJuuCtXYiwOcKT9s8uRh8,https://api.spotify.com/v1/audio-analysis/6bJuuCtXYiwOcKT9s8uRh8,160360,4,N
77,Papas Got A Brand New Bag,James Brown,0.738,0.541,4,-9.508,1,0.09,0.292,1.15e-05,0.0861,0.925,127.942,audio_features,00pGV4EInVd77cnOIwPTCv,spotify:track:00pGV4EInVd77cnOIwPTCv,https://api.spotify.com/v1/tracks/00pGV4EInVd77cnOIwPTCv,https://api.spotify.com/v1/audio-analysis/00pGV4EInVd77cnOIwPTCv,128173,4,N
78,Walk On By,Dionne Warwick,0.7,0.33,5,-9.027,1,0.0303,0.719,8.6e-05,0.136,0.524,98.605,audio_features,3xsOtNxtBW0oTI1OWKAzTm,spotify:track:3xsOtNxtBW0oTI1OWKAzTm,https://api.spotify.com/v1/tracks/3xsOtNxtBW0oTI1OWKAzTm,https://api.spotify.com/v1/audio-analysis/3xsOtNxtBW0oTI1OWKAzTm,178333,4,N
